Date,Open,High,Low,Close,Adj Close,Volume
2020-12-28,1405.0,1421.0,1404.0,1412.8499755859375,1356.3057861328125,5849597
2020-12-29,1421.050048828125,1434.75,1420.0,1427.199951171875,1370.08154296875,7247673
2020-12-30,1439.9000244140625,1439.9000244140625,1413.0,1432.5,1375.16943359375,8108363
2020-12-31,1435.0,1444.0,1425.050048828125,1436.300048828125,1378.8172607421875,11072875
2021-01-01,1440.0,1443.0,1420.5999755859375,1425.050048828125,1368.017578125,4405469
2021-01-04,1438.0,1438.0,1399.0,1416.0,1359.3297119140625,7870096
2021-01-05,1419.199951171875,1430.75,1409.0,1426.699951171875,1369.6014404296875,7193412
2021-01-06,1435.0,1440.0,1413.0999755859375,1420.550048828125,1363.6976318359375,11067025
2021-01-07,1432.5,1432.5999755859375,1412.550048828125,1416.25,1359.5697021484375,9947421
2021-01-08,1432.0,1442.0,1423.0999755859375,1431.6500244140625,1374.353271484375,6884382
2021-01-11,1450.0,1464.9000244140625,1436.300048828125,1451.449951171875,1393.36083984375,8665696
2021-01-12,1452.449951171875,1487.699951171875,1449.0999755859375,1481.0,1421.7283935546875,10194078
2021-01-13,1492.9000244140625,1496.9000244140625,1462.0999755859375,1470.6500244140625,1411.7926025390625,8467325
2021-01-14,1471.1500244140625,1488.0,1456.0,1468.75,1409.968505859375,6148583
2021-01-15,1469.0999755859375,1471.6500244140625,1445.0,1466.6500244140625,1407.95263671875,7082618
2021-01-18,1469.9000244140625,1502.8499755859375,1467.0,1483.0999755859375,1423.744140625,21412816
2021-01-19,1491.800048828125,1511.6500244140625,1467.0,1503.8499755859375,1443.663818359375,8680127
2021-01-20,1501.0,1501.0,1486.0,1492.0,1432.2882080078125,6673026
2021-01-21,1492.0,1494.3499755859375,1468.1500244140625,1474.800048828125,1415.7764892578125,13166527
2021-01-22,1467.9000244140625,1467.9000244140625,1440.1500244140625,1443.550048828125,1385.777099609375,7696182
2021-01-25,1465.0999755859375,1481.0,1455.1500244140625,1462.8499755859375,1404.3046875,10172359
2021-01-27,1468.0,1471.9000244140625,1406.1500244140625,1409.5999755859375,1353.1859130859375,11778138
2021-01-28,1389.9000244140625,1401.300048828125,1342.0,1371.449951171875,1316.5626220703125,21352223
2021-01-29,1391.3499755859375,1408.75,1364.5,1390.5,1334.85009765625,14352251
2021-02-01,1410.25,1482.5,1401.0,1476.75,1417.6483154296875,13185272
2021-02-02,1501.0,1578.5,1497.4000244140625,1560.550048828125,1498.0946044921875,21210103
2021-02-03,1579.0,1581.699951171875,1542.0,1574.800048828125,1511.7742919921875,10118627
2021-02-04,1566.0,1588.0,1543.449951171875,1579.0999755859375,1515.9022216796875,12242342
2021-02-05,1548.0,1618.25,1548.0,1597.5999755859375,1533.6617431640625,13527358
2021-02-08,1620.0,1631.6500244140625,1595.699951171875,1605.25,1541.005615234375,8723790
2021-02-09,1610.0,1628.0,1586.699951171875,1611.8499755859375,1547.3414306640625,9210683
2021-02-10,1608.3499755859375,1614.8499755859375,1567.0,1581.75,1518.4461669921875,9894003
2021-02-11,1582.0,1597.800048828125,1564.199951171875,1572.3499755859375,1509.4222412109375,6824309
2021-02-12,1573.9000244140625,1592.5,1573.0,1581.949951171875,1518.6380615234375,4955053
2021-02-15,1600.0999755859375,1625.0,1596.699951171875,1616.5999755859375,1551.9013671875,5177622
2021-02-16,1621.199951171875,1641.0,1608.449951171875,1626.6500244140625,1561.5491943359375,6948679
2021-02-17,1620.0,1621.800048828125,1583.0,1586.5,1523.006103515625,6397213
2021-02-18,1605.949951171875,1605.949951171875,1548.0,1554.300048828125,1492.0947265625,7360280
2021-02-19,1545.0,1564.199951171875,1533.0,1539.0999755859375,1477.5030517578125,8569754
